ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2023-02-09T18:17:13Z,dmurat125,ios,0,TR,176.55.153.23,unknown,VUR,BLOK3,VUR,spotify:track:2Nt4eocAv9wi1vHshhSdpF,,,,clickrow,endplay,false,true,false,1675966616,false
2023-02-09T18:18:35Z,dmurat125,ios,80944,TR,176.55.153.23,unknown,AFFETMEM,BLOK3,AFFETMEM,spotify:track:3WCrBnWabeuTk2wr6UwaYV,,,,clickrow,endplay,false,true,false,1675966634,false
2023-02-09T18:50:05Z,dmurat125,ios,141246,TR,176.55.153.23,unknown,Nedenini Sorma,UZI,Kan,spotify:track:6IW5ocUH5DRWagxkLTlbUS,,,,clickrow,endplay,false,true,false,1675966716,false
2023-02-09T18:54:14Z,dmurat125,ios,249596,TR,176.55.153.23,unknown,Hayrola,Heja,Hayrola,spotify:track:1GPEOAgBH7e0k55NOEsVJv,,,,clickrow,trackdone,false,false,false,1675968606,false
2023-02-09T20:50:26Z,dmurat125,ios,178532,TR,176.55.153.23,unknown,TOTEM,Motive,TOTEM,spotify:track:4XVuzZAc7SCoM6R7L0WGLh,,,,trackdone,trackdone,false,false,false,1675968855,false
2023-02-09T20:52:45Z,dmurat125,ios,136068,TR,176.55.153.23,unknown,Rich Flex,Drake,Her Loss,spotify:track:1bDbXMyjaUIooNwFE9wn0N,,,,trackdone,endplay,false,true,false,1675975827,false
2023-02-09T20:55:39Z,dmurat125,ios,175311,TR,176.55.153.23,unknown,Hasbelkader,ElMusto,Hasbelkader,spotify:track:2YgfSOiRwR52RKnYyNYZmT,,,,clickrow,trackdone,false,false,false,1675975965,false
2023-02-09T20:58:34Z,dmurat125,ios,175416,TR,176.55.153.23,unknown,Agalar,ElMusto,Agalar,spotify:track:09XgLPMuL580nymLG2VO0z,,,,trackdone,trackdone,false,false,false,1675976139,false
2023-02-09T21:00:45Z,dmurat125,ios,130217,TR,176.55.153.23,unknown,DIPGAZ / UMRANDROP,Umut Ercan,DIPGAZ / UMRANDROP,spotify:track:3XJWepbOUgvLQihXzYoBWy,,,,trackdone,trackdone,false,false,false,1675976315,false
2023-02-09T21:04:40Z,dmurat125,ios,192931,TR,176.55.153.23,unknown,Time Flies,Drake,Dark Lane Demo Tapes,spotify:track:5H4mXWKcicuLKDn4Jy0sK7,,,,trackdone,trackdone,false,false,false,1675976446,false
2023-02-09T21:09:41Z,dmurat125,ios,242965,TR,176.55.153.23,unknown,Knife Talk (with 21 Savage ft. Project Pat),Drake,Certified Lover Boy,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,,,,trackdone,trackdone,false,false,false,1675976680,false
2023-02-09T23:06:42Z,dmurat125,ios,12079,TR,176.40.247.233,unknown,m y . l i f e (with 21 Savage & Morray),J. Cole,The Off-Season,spotify:track:1D3z6HTiQsNmZxjl7F7eoG,,,,trackdone,endplay,false,true,false,1675976981,false
2023-02-11T09:23:07Z,dmurat125,ios,2030,TR,176.54.15.236,unknown,m y . l i f e (with 21 Savage & Morray),J. Cole,The Off-Season,spotify:track:1D3z6HTiQsNmZxjl7F7eoG,,,,appload,endplay,false,true,false,1676107384,false
2023-02-11T09:27:15Z,dmurat125,ios,249596,TR,176.54.15.236,unknown,Hayrola,Heja,Hayrola,spotify:track:1GPEOAgBH7e0k55NOEsVJv,,,,clickrow,trackdone,false,false,false,1676107387,false
2023-02-11T09:30:14Z,dmurat125,ios,178532,TR,176.54.15.236,unknown,TOTEM,Motive,TOTEM,spotify:track:4XVuzZAc7SCoM6R7L0WGLh,,,,trackdone,trackdone,false,false,false,1676107636,false
2023-02-11T09:30:31Z,dmurat125,ios,14821,TR,176.54.15.236,unknown,Rich Flex,Drake,Her Loss,spotify:track:1bDbXMyjaUIooNwFE9wn0N,,,,trackdone,endplay,false,true,false,1676107815,false
2023-02-11T09:30:32Z,dmurat125,ios,440,TR,176.54.15.236,unknown,Farklı Yol,Farazi,Ölmek İçin Doğanlar,spotify:track:09l6KXWKqFJxOq9mKC4Sl4,,,,clickrow,endplay,false,true,false,1676107831,false
2023-02-11T10:38:31Z,dmurat125,ios,30570,TR,176.54.15.236,unknown,Major Distribution,Drake,Her Loss,spotify:track:46s57QULU02Voy0Kup6UEb,,,,clickrow,endplay,false,true,false,1676107832,false
2023-02-11T10:43:13Z,dmurat125,ios,249596,TR,176.54.15.236,unknown,Hayrola,Heja,Hayrola,spotify:track:1GPEOAgBH7e0k55NOEsVJv,,,,clickrow,trackdone,false,false,false,1676111912,false
2023-02-11T10:46:12Z,dmurat125,ios,178532,TR,176.54.15.236,unknown,TOTEM,Motive,TOTEM,spotify:track:4XVuzZAc7SCoM6R7L0WGLh,,,,trackdone,trackdone,false,false,false,1676112194,false
2023-02-11T10:49:09Z,dmurat125,ios,174981,TR,176.54.54.219,unknown,Rich Flex,Drake,Her Loss,spotify:track:1bDbXMyjaUIooNwFE9wn0N,,,,trackdone,unexpected-exit-while-paused,false,false,false,1676112373,false
2023-02-12T11:25:13Z,dmurat125,ios,43649,TR,176.54.54.219,unknown,Hayrola,Heja,Hayrola,spotify:track:1GPEOAgBH7e0k55NOEsVJv,,,,clickrow,fwdbtn,false,true,false,1676201069,false
2023-02-12T11:25:18Z,dmurat125,ios,3877,TR,176.54.54.219,unknown,TOTEM,Motive,TOTEM,spotify:track:4XVuzZAc7SCoM6R7L0WGLh,,,,fwdbtn,backbtn,false,true,false,1676201114,false
2023-02-12T11:29:38Z,dmurat125,ios,256509,TR,176.54.54.219,unknown,Hayrola,Heja,Hayrola,spotify:track:1GPEOAgBH7e0k55NOEsVJv,,,,backbtn,trackdone,false,false,false,1676201118,false
2023-02-12T11:32:37Z,dmurat125,ios,178532,TR,176.54.54.219,unknown,TOTEM,Motive,TOTEM,spotify:track:4XVuzZAc7SCoM6R7L0WGLh,,,,trackdone,trackdone,false,false,false,1676201379,false
2023-02-12T11:34:25Z,dmurat125,ios,106956,TR,176.54.54.219,unknown,Rich Flex,Drake,Her Loss,spotify:track:1bDbXMyjaUIooNwFE9wn0N,,,,trackdone,fwdbtn,false,true,false,1676201558,false
2023-02-12T11:34:25Z,dmurat125,ios,139,TR,176.54.54.219,unknown,Farklı Yol,Farazi,Ölmek İçin Doğanlar,spotify:track:09l6KXWKqFJxOq9mKC4Sl4,,,,fwdbtn,fwdbtn,false,true,false,1676201666,false
2023-02-12T11:34:27Z,dmurat125,ios,1950,TR,176.54.54.219,unknown,Major Distribution,Drake,Her Loss,spotify:track:46s57QULU02Voy0Kup6UEb,,,,fwdbtn,backbtn,false,true,false,1676201666,false
2023-02-12T11:37:02Z,dmurat125,ios,155446,TR,176.54.54.219,unknown,Farklı Yol,Farazi,Ölmek İçin Doğanlar,spotify:track:09l6KXWKqFJxOq9mKC4Sl4,,,,backbtn,trackdone,false,false,false,1676201668,false
2023-02-12T11:37:37Z,dmurat125,ios,33412,TR,176.54.54.219,unknown,Major Distribution,Drake,Her Loss,spotify:track:46s57QULU02Voy0Kup6UEb,,,,trackdone,endplay,false,true,false,1676201823,false
